timestamp,date,weekday,store_id,store,city,count
2026-08-27T12:35:13+02:00,2026-08-27,donderdag,1463,AH Blekersvaartweg,Heemstede,0
2026-08-27T12:35:13+02:00,2026-08-27,donderdag,1348,AH Zandvoortselaan,Heemstede,0
2026-08-27T12:35:13+02:00,2026-08-27,donderdag,1135,AH Casablancastraat,Haarlem,0
2026-08-27T19:36:15+02:00,2026-08-27,donderdag,1463,AH Blekersvaartweg,Heemstede,8
2026-08-27T19:36:15+02:00,2026-08-27,donderdag,1348,AH Zandvoortselaan,Heemstede,1
2026-08-27T19:36:15+02:00,2026-08-27,donderdag,1135,AH Casablancastraat,Haarlem,2
2026-08-27T19:43:32+02:00,2026-08-27,donderdag,1463,AH Blekersvaartweg,Heemstede,8
2026-08-27T19:43:32+02:00,2026-08-27,donderdag,1348,AH Zandvoortselaan,Heemstede,1
2026-08-27T19:43:32+02:00,2026-08-27,donderdag,1135,AH Casablancastraat,Haarlem,2
2026-08-27T19:50:30+02:00,2026-08-27,donderdag,1463,AH Blekersvaartweg,Heemstede,8
2026-08-27T19:50:30+02:00,2026-08-27,donderdag,1348,AH Zandvoortselaan,Heemstede,1
2026-08-27T19:50:30+02:00,2026-08-27,donderdag,1135,AH Casablancastraat,Haarlem,2
2026-08-27T20:05:26+02:00,2026-08-27,donderdag,1463,AH Blekersvaartweg,Heemstede,3
2026-08-27T20:05:26+02:00,2026-08-27,donderdag,1348,AH Zandvoortselaan,Heemstede,1
2026-08-27T20:05:26+02:00,2026-08-27,donderdag,1135,AH Casablancastraat,Haarlem,2
2026-08-28T19:59:03+02:00,2026-08-28,vrijdag,1463,AH Blekersvaartweg,Heemstede,5
2026-08-28T19:59:03+02:00,2026-08-28,vrijdag,1348,AH Zandvoortselaan,Heemstede,2
2026-08-28T19:59:03+02:00,2026-08-28,vrijdag,1135,AH Casablancastraat,Haarlem,5
2026-08-29T19:25:07+02:00,2026-08-29,zaterdag,1463,AH Blekersvaartweg,Heemstede,6
2026-08-29T19:25:07+02:00,2026-08-29,zaterdag,1348,AH Zandvoortselaan,Heemstede,8
2026-08-29T19:25:07+02:00,2026-08-29,zaterdag,1135,AH Casablancastraat,Haarlem,6
2026-08-30T19:25:04+02:00,2026-08-30,zondag,1463,AH Blekersvaartweg,Heemstede,3
2026-08-30T19:25:04+02:00,2026-08-30,zondag,1348,AH Zandvoortselaan,Heemstede,5
2026-08-31T19:25:05+02:00,2026-08-31,maandag,1463,AH Blekersvaartweg,Heemstede,5
2026-08-31T19:25:05+02:00,2026-08-31,maandag,1348,AH Zandvoortselaan,Heemstede,8
2026-08-31T19:25:05+02:00,2026-08-31,maandag,1135,AH Casablancastraat,Haarlem,9
2026-09-01T19:25:05+02:00,2026-09-01,dinsdag,1463,AH Blekersvaartweg,Heemstede,7
2026-09-01T19:25:05+02:00,2026-09-01,dinsdag,1348,AH Zandvoortselaan,Heemstede,2
2026-09-01T19:25:05+02:00,2026-09-01,dinsdag,1135,AH Casablancastraat,Haarlem,10
2026-09-02T19:25:03+02:00,2026-09-02,woensdag,1463,AH Blekersvaartweg,Heemstede,5
2026-09-02T19:25:03+02:00,2026-09-02,woensdag,1348,AH Zandvoortselaan,Heemstede,7
2026-09-02T19:25:03+02:00,2026-09-02,woensdag,1135,AH Casablancastraat,Haarlem,3
2026-09-03T19:25:03+02:00,2026-09-03,donderdag,1463,AH Blekersvaartweg,Heemstede,5
2026-09-03T19:25:03+02:00,2026-09-03,donderdag,1348,AH Zandvoortselaan,Heemstede,2
2026-09-03T19:25:03+02:00,2026-09-03,donderdag,1135,AH Casablancastraat,Haarlem,10
2026-09-04T19:25:07+02:00,2026-09-04,vrijdag,1463,AH Blekersvaartweg,Heemstede,5
2026-09-04T19:25:07+02:00,2026-09-04,vrijdag,1348,AH Zandvoortselaan,Heemstede,0
2026-09-04T19:25:07+02:00,2026-09-04,vrijdag,1135,AH Casablancastraat,Haarlem,6
2026-09-05T19:25:03+02:00,2026-09-05,zaterdag,1463,AH Blekersvaartweg,Heemstede,2
2026-09-05T19:25:03+02:00,2026-09-05,zaterdag,1348,AH Zandvoortselaan,Heemstede,10
2026-09-05T19:25:03+02:00,2026-09-05,zaterdag,1135,AH Casablancastraat,Haarlem,12
2026-09-06T19:25:05+02:00,2026-09-06,zondag,1463,AH Blekersvaartweg,Heemstede,0
2026-09-06T19:25:05+02:00,2026-09-06,zondag,1348,AH Zandvoortselaan,Heemstede,6
2026-09-06T19:25:05+02:00,2026-09-06,zondag,1135,AH Casablancastraat,Haarlem,4
2026-09-07T19:25:04+02:00,2026-09-07,maandag,1463,AH Blekersvaartweg,Heemstede,1
2026-09-07T19:25:04+02:00,2026-09-07,maandag,1348,AH Zandvoortselaan,Heemstede,2
2026-09-07T19:25:04+02:00,2026-09-07,maandag,1135,AH Casablancastraat,Haarlem,8
2026-09-08T19:25:03+02:00,2026-09-08,dinsdag,1463,AH Blekersvaartweg,Heemstede,1
2026-09-08T19:25:03+02:00,2026-09-08,dinsdag,1348,AH Zandvoortselaan,Heemstede,7
2026-09-08T19:25:03+02:00,2026-09-08,dinsdag,1135,AH Casablancastraat,Haarlem,14
2026-09-09T19:25:06+02:00,2026-09-09,woensdag,1463,AH Blekersvaartweg,Heemstede,0
2026-09-09T19:25:06+02:00,2026-09-09,woensdag,1348,AH Zandvoortselaan,Heemstede,5
2026-09-09T19:25:06+02:00,2026-09-09,woensdag,1135,AH Casablancastraat,Haarlem,7
